Year, Movie, Creative Type, Production Method, Source, Genre, MPAA Rating, Distributor, Total for Year, Total in 2022 dollars, Tickets Sold
1995,"	Batman Forever","	Super Hero", Live Action, Based on Comic/Graphic Novel, Action,"	PG-13","	Warner Bros.","	$184031112","	$445482201","	42306002"
1996,"	Independence Day","	Science Fiction", Live Action, Original Screenplay, Adventure,"	PG-13","	20th Century Fox","	$306169255","	$729403223","	69269062"
1997,"	Men in Black","	Science Fiction", Live Action, Based on Comic/Graphic Novel, Adventure,"	PG-13","	Sony Pictures","	$250650052","	$575020703","	54607854"
1998,"	Titanic","	Historical Fiction", Live Action, Original Screenplay, Drama,"	PG-13","	Paramount Pictures","	$443319081","	$995341132","	94524324"
1999,"	Star Wars Ep. I: The Phantom Menace","	Science Fiction", Animation/Live Action, Original Screenplay, Adventure,"	PG","	20th Century Fox","	$430443350","	$892237879","	84732942"
2000,"	How the Grinch Stole Christmas","	Kids Fiction",Live Action,Based on Fiction Book/Short Story,Adventure,"	PG","	Universal","	$253367455","	$494983162","	47006948"
2001,"	Harry Potter and the Sorcerer’s Stone","	Fantasy",Animation/Live Action,Based on Fiction Book/Short Story,Adventure,"	PG","	Warner Bros.","	$300404434","	$558879624","	53074988"
2002,"	Spider-Man","	Super Hero", Live Action, Based on Comic/Graphic Novel,Adventure,"	PG-13","	Sony Pictures","	$403706375","	$731674375","	69484746"
2003,"	Finding Nemo","	Kids Fiction", Digital Animation, Original Screenplay, Adventure,"	G","	Walt Disney","	$339714367","	$593232548","	56337374"
2004,"	Shrek 2","	Kids Fiction", Digital Animation, Based on Fiction Book/Short Story, Adventure,"	PG","	Dreamworks & SKG","	$441226247","	$748166240","	71050925"
2005,"	Star Wars Ep. III: Revenge of the Sith","	Science Fiction", Animation/Live Action, Original Screenplay, Adventure,"	PG-13","	20th Century Fox","	$380270577","	$624687848","	59324582"
2006,"	Pirates of the Caribbean: Dead Man’s Chest","	Historical Fiction", Live Action, Based on Theme Park Ride, Adventure,"	PG-13","	Walt Disney","	$423315812","	$680536715","	64628368"
2007,"	Spider-Man 3","	Super Hero", Live Action, Based on Comic/Graphic Novel, Adventure,"	PG-13","	Sony Pictures","	$336530303","	$515067453","	48914288"
2008,"	The Dark Knight"," 	Super Hero", Live Action, Based on Comic/Graphic Novel, Action,"	PG-13","	Warner Bros.","	$531001578","	$778753016","	73955652"
2009,"	Transformers: Revenge of the Fallen", Science Fiction, Animation/Live Action, Based on TV, Action,"	PG-13","	Paramount Pictures","	$402111870","	$564565065","	53614916"
2010,"	Toy Story 3","	Kids Fiction", Digital Animation, Original Screenplay, Adventure,"	G","	Walt Disney","	$415004880","	$553865827","	52598844"
2011,"	Harry Potter and the Deathly Hallows: Part II","	Fantasy",Animation/Live Action,Based on Fiction Book/Short Story,Adventure,"	PG-13","	Warner Bros.","	$381011219","	$505932930","	48046812"
2012,"	The Avengers","	Super Hero",Animation/Live Action,Based on Comic/Graphic Novel,Action,"	PG-13","	Walt Disney","	$623357910","	$824617936","	78311295"
2013,"	Iron Man 3","	Super Hero",Animation/Live Action,Based on Comic/Graphic Novel,Action,"	PG-13","	Walt Disney","	$408992272","	$529727993","	50306552"
2014,"	Guardians of the Galaxy","	Super Hero",Animation/Live Action,Based on Comic/Graphic Novel,Action,"	PG-13","	Walt Disney","	$333055258","	$429262158","	40765637"
2015,"	Star Wars Ep. VII: The Force Awakens","	Science Fiction",Animation/Live Action,Original Screenplay,Adventure,"	PG-13","	Walt Disney","	$742208942","	$927100845","	88043765"
2016,"	Finding Dory","	Kids Fiction",Digital Animation,Original Screenplay,Adventure,"	PG","	Walt Disney","	$486295561","	$591987544","	56219140"
2017,"	Star Wars Ep. VIII: The Last Jedi","	Science Fiction",Animation/Live Action,Original Screenplay,Adventure,"	PG-13","	Walt Disney","	$517218368","	$607169382","	57660910"
2018,"	Black Panther","	Super Hero",Live Action,Based on Comic/Graphic Novel,Action,"	PG-13","	Walt Disney","	$700059566","	$809179714","	76845177"
2019,"	Avengers: Endgame","	Super Hero",Animation/Live Action,Based on Comic/Graphic Novel,Action,"	PG-13","	Walt Disney","	$858373000","	$986754117","	93708843"
2020,"	Bad Boys For Life","	Contemporary Fiction",Live Action,Original Screenplay,Action,"	R","	Sony Pictures","	$204417855","	$228748139","	21723470"
2021,"	Spider-Man: No Way Home","	Super Hero",Live Action,Based on Comic/Graphic Novel,Action,"	PG-13","	Sony Pictures","	$572984769","	$580147075","	55094689"
2022,"	Top Gun: Maverick","	Contemporary Fiction",Live Action,Original Screenplay,Action,"	PG-13","	Paramount Pictures","	$718732821","	$724235078","	68778260"
2023,"	The Super Mario Bros. Movie","	Kids Fiction",Digital Animation,Based on Game,Action,"	PG","	Universal","	$574216720","	$574216720","	54531502"
