Week ending,New covid cases
1/15/2020,0
1/22/2020,6
1/29/2020,5
2/5/2020,12
2/12/2020,13
2/19/2020,16
2/26/2020,27
3/4/2020,101
3/11/2020,1133
3/18/2020,7725
3/25/2020,59286
4/1/2020,151264
4/8/2020,216480
4/15/2020,207216
4/22/2020,199145
4/29/2020,199927
5/6/2020,187942
5/13/2020,159936
5/20/2020,157259
5/27/2020,145806
6/3/2020,143756
6/10/2020,147482
6/17/2020,154019
6/24/2020,209647
7/1/2020,292313
7/8/2020,357393
7/15/2020,424339
7/22/2020,459483
7/29/2020,455984
8/5/2020,413265
8/12/2020,400616
8/19/2020,350712
8/26/2020,296690
9/2/2020,285968
9/9/2020,258226
9/16/2020,277253
9/23/2020,293309
9/30/2020,300682
10/7/2020,310424
10/14/2020,363384
10/21/2020,429807
10/28/2020,524982
11/4/2020,661396
11/11/2020,900961
11/18/2020,1118350
11/25/2020,1251936
12/2/2020,1183256
12/9/2020,1475954
12/16/2020,1537172
12/23/2020,1512798
12/30/2020,1317948
1/6/2021,1590007
1/13/2021,1708203
1/20/2021,1380273
1/27/2021,1129579
2/3/2021,918356
2/10/2021,738798
2/17/2021,542647
2/24/2021,467710
3/3/2021,447114
3/10/2021,392018
3/17/2021,376555
3/24/2021,404560
3/31/2021,448194
4/7/2021,457931
4/14/2021,493179
4/21/2021,450936
4/28/2021,371545
5/5/2021,334866
5/12/2021,261590
5/19/2021,212024
5/26/2021,164435
6/2/2021,120377
6/9/2021,101526
6/16/2021,89033
6/23/2021,84583
6/30/2021,98114
7/7/2021,133426
7/14/2021,251109
7/21/2021,288156
7/28/2021,464743
8/4/2021,678272
8/11/2021,850255
8/18/2021,991598
8/25/2021,1052435
9/1/2021,1180574
9/8/2021,1083184
9/15/2021,1058593
9/22/2021,904791
9/29/2021,800392
10/6/2021,700690
10/13/2021,617609
10/20/2021,531867
10/27/2021,506133
11/3/2021,501888
11/10/2021,541252
11/17/2021,616866
11/24/2021,662808
12/1/2021,614363
12/8/2021,855373
12/15/2021,839151
12/22/2021,1165714
12/29/2021,2141041
1/5/2022,4258196
1/12/2022,5476627
1/19/2022,5505375
1/26/2022,4407223
2/2/2022,2687496
2/9/2022,1475213
2/16/2022,894271
2/23/2022,547193
3/2/2022,374961
3/9/2022,264899
3/16/2022,213281
3/23/2022,195348
3/30/2022,194244
4/6/2022,201588
4/13/2022,222425
4/20/2022,297017
4/27/2022,371286
5/4/2022,458622
5/11/2022,593713
5/18/2022,713982
5/25/2022,766817
6/1/2022,715334
6/8/2022,763630
6/15/2022,724384
6/22/2022,685883
6/29/2022,772810
7/6/2022,772451
7/13/2022,869241
7/20/2022,897291
7/27/2022,921350
8/3/2022,829723
8/10/2022,758970
8/17/2022,695417
8/24/2022,645656
8/31/2022,611324
9/7/2022,519397
9/14/2022,467254
9/21/2022,394184
9/28/2022,388591
10/5/2022,306870
10/12/2022,262435
10/19/2022,262186
10/26/2022,262578
11/2/2022,274122
11/9/2022,291461
11/16/2022,281399
11/23/2022,309196
11/30/2022,314441
12/7/2022,468540
12/14/2022,455495
12/21/2022,495024
12/28/2022,398784
1/4/2023,479516
1/11/2023,434550
1/18/2023,330819
1/25/2023,303312
2/1/2023,286871
2/8/2023,279704
2/15/2023,261013
2/22/2023,235413
3/1/2023,229891
3/8/2023,185778
3/15/2023,170058
3/22/2023,157496
3/29/2023,143830
4/5/2023,131667
4/12/2023,109860
4/19/2023,106901
4/26/2023,96350
5/3/2023,85668
5/10/2023,75859
